"","Player.Name","Salary","Position","Age","Team","Games Played","Games Started","Minutes Played","Field Goals Made","Field Goals Attempted","FG..x","3-Pointers Made","X3P..x","2-Pointers Made","X2P..x","eFG.","Free-Throws Made","FTA.x","FT..x","PTS.x","Total.Minutes","PER","TS.","X3PAr","FTr","ORB.","DRB.","TRB.","AST.","STL.","BLK.","TOV.","USG.","OWS","DWS","WS","WS.48","OBPM","DBPM","BPM","VORP","Is_NBA","X2022.Signing","PTS.y","FG..y","X2P..y","X3P..y","FTA.y","FT..y","3-Pointers Attempted","2-Pointers Attempted","Free-Throws Attempted","Offensive Rebounds","Defensive Rebounds","Total Rebounds","Assists","Steals","Blocks","Turnovers","Personal Fouls"
"174","Rudy Gay",6184500,"PF",36,"UTA",56,0,14.6,1.9,5.1,0.38,0.6,0.254,1.4,0.484,0.437,0.8,0.9,0.857,5.2,816,9,0.475,0.453,0.171,4.4,17,10.8,9.4,1.1,1.9,10.7,17.7,-0.4,0.7,0.3,0.018,-3.6,-0.4,-4,-0.4,1,NA,NA,NA,NA,NA,NA,NA,2.3,2.8,0.9,0.6,2.3,2.9,1,0.3,0.3,0.7,1.2
"175","Jevon Carter",6025000,"PG",27,"MIL",81,39,22.3,3,7,0.423,1.8,0.421,1.2,0.425,0.549,0.4,0.5,0.816,8,1810,10.9,0.56,0.596,0.067,2.1,9.3,5.8,14.5,1.7,1.3,11.8,15.3,1.2,2.3,3.5,0.092,-1.9,1.2,-0.6,0.6,1,NA,NA,NA,NA,NA,NA,NA,4.2,2.8,0.5,0.4,2.1,2.5,2.4,0.8,0.4,1,2
"176","Shaedon Sharpe",6012960,"SG",19,"POR",80,15,22.2,3.8,8.1,0.472,1.3,0.36,2.6,0.559,0.551,0.9,1.3,0.714,9.9,1779,11.5,0.568,0.437,0.162,4,11.3,7.6,7.9,1,1.2,10.7,19,0.6,0.6,1.2,0.032,-1.3,-2,-3.3,-0.6,1,NA,NA,NA,NA,NA,NA,NA,3.5,4.6,1.3,0.8,2.2,3,1.2,0.5,0.3,1,1.7
"177","Cameron Payne",6000000,"PG",28,"PHO",48,15,20.2,3.9,9.4,0.415,1.4,0.368,2.5,0.448,0.49,1,1.3,0.766,10.3,968,13.2,0.512,0.408,0.141,1.3,11,6.1,32.6,1.7,0.7,14.4,24.8,0,1,1.1,0.053,-0.5,-0.7,-1.2,0.2,1,NA,NA,NA,NA,NA,NA,NA,3.9,5.6,1.3,0.3,2,2.2,4.5,0.7,0.2,1.7,1.8
"178","Justin Holiday",5987975,"SF",33,"DAL/ATL",46,2,15.3,1.7,4.4,0.377,1,0.322,0.7,0.508,0.49,0.1,0.2,0.625,4.5,706,6.6,0.494,0.701,0.039,0.8,8.1,4.4,7.5,1.3,2.3,9.6,14.1,-0.4,0.5,0.1,0.008,-3.7,-0.1,-3.9,-0.3,1,NA,NA,NA,NA,NA,NA,NA,3.1,1.3,0.2,0.1,1.1,1.2,0.9,0.4,0.4,0.5,1.5
"179","Cam Reddish",5954454,"SF",23,"NYK/POR",40,20,24.8,3.5,7.8,0.446,1.1,0.313,2.4,0.56,0.518,1.6,1.9,0.853,9.7,990,10.6,0.561,0.462,0.24,2,8.1,5,8.1,1.9,1.3,12,17.1,0.3,0.7,0.9,0.046,-2.6,-0.8,-3.4,-0.4,1,NA,NA,NA,NA,NA,NA,NA,3.6,4.2,1.9,0.5,1.8,2.2,1.4,1,0.4,1.2,1.8
"180","Cameron Johnson",5887899,"PF",26,"BRK/PHO",42,41,28.5,5.3,11.3,0.47,2.5,0.404,2.9,0.548,0.579,2.4,2.9,0.842,15.5,1199,17.1,0.617,0.538,0.253,3.2,14,8.6,9.6,2,1,6.6,20.6,2.1,1.4,3.5,0.142,2,0.6,2.6,1.4,1,NA,NA,NA,NA,NA,NA,NA,6.1,5.2,2.9,0.8,3.6,4.4,1.9,1.2,0.3,0.9,2
"181","Ricky Rubio",5853659,"PG",32,"CLE",33,2,17.2,1.8,5.4,0.343,0.6,0.256,1.2,0.417,0.402,0.8,1.1,0.8,5.2,566,10.4,0.442,0.461,0.197,1.9,12.7,7.3,27.1,2.3,1,13.8,17.7,-0.2,0.9,0.7,0.062,-3.8,1.1,-2.8,-0.1,1,NA,NA,NA,NA,NA,NA,NA,2.5,2.9,1.1,0.3,1.8,2.1,3.5,0.8,0.2,0.9,1.5
"182","Killian Hayes",5837760,"PG",21,"DET",76,56,28.3,4,10.7,0.377,1.1,0.28,3,0.429,0.426,1.2,1.5,0.821,10.3,2154,10.2,0.455,0.351,0.137,1.4,10.2,5.7,32.3,2.3,1.1,16.7,20.5,-1.9,1.4,-0.5,-0.012,-3.3,-0.5,-3.8,-1,1,NA,NA,NA,NA,NA,NA,NA,3.8,7,1.5,0.4,2.5,2.9,6.2,1.4,0.4,2.3,2.9
"183","Jonathan Kuminga",5739840,"PF",20,"GSW",67,16,20.8,3.9,7.4,0.525,0.8,0.37,3.1,0.59,0.579,1.3,2.1,0.652,9.9,1394,13.3,0.597,0.294,0.278,5.6,12.5,9.1,12.7,1.4,2,14.6,19.6,1,1.4,2.4,0.084,-1.7,-0.1,-1.7,0.1,1,NA,NA,NA,NA,NA,NA,NA,2.2,5.2,2.1,1,2.4,3.4,1.9,0.6,0.5,1.4,2.3
"184","Pat Connaughton",5728393,"SF",30,"MIL",61,33,23.7,2.7,6.9,0.392,1.8,0.339,0.9,0.566,0.521,0.4,0.7,0.659,7.6,1443,10,0.531,0.765,0.097,3.8,16.2,10.2,6.9,1.2,0.6,7,13.8,0.7,1.8,2.5,0.085,-1.3,0.3,-1,0.3,1,NA,NA,NA,NA,NA,NA,NA,5.3,1.6,0.7,0.8,3.8,4.6,1.3,0.6,0.2,0.5,1.1
"185","Tyler Herro",5722116,"SG",23,"MIA",67,67,34.9,7.3,16.6,0.439,3,0.378,4.2,0.497,0.531,2.5,2.7,0.934,20.1,2337,15.3,0.566,0.484,0.164,1.3,17.3,9,19.9,1.1,0.7,11.7,25.6,1.1,2.4,3.5,0.072,1.5,-0.8,0.6,1.6,1,NA,NA,NA,NA,NA,NA,NA,8,8.5,2.7,0.4,5,5.4,4.2,0.8,0.2,2.4,1.5
"186","Romeo Langford",5634257,"SG",23,"SAS",43,21,19.6,2.8,6,0.467,0.4,0.262,2.4,0.53,0.498,0.9,1.3,0.696,6.9,844,10.4,0.524,0.236,0.216,7.1,7.7,7.4,7.9,1.3,1.3,9.6,15.4,0.3,0.2,0.5,0.029,-2.6,-1.5,-4.2,-0.5,1,NA,NA,NA,NA,NA,NA,NA,1.4,4.6,1.3,1.3,1.3,2.7,1.2,0.6,0.3,0.7,1.6
"187","Dyson Daniels",5508600,"PG",19,"NOP",59,11,17.7,1.5,3.5,0.418,0.5,0.314,1,0.492,0.483,0.4,0.7,0.65,3.8,1042,8.8,0.503,0.413,0.192,3.9,16.5,10.2,16.4,2,1,20.2,11.6,-0.1,1.4,1.3,0.061,-3.4,1.6,-1.8,0,1,NA,NA,NA,NA,NA,NA,NA,1.5,2.1,0.7,0.6,2.6,3.2,2.3,0.7,0.2,1,1.7
"188","JaVale McGee",5461219,"C",35,"DAL",42,7,8.5,1.9,3,0.64,0,0.4,1.9,0.65,0.648,0.6,1,0.585,4.4,355,17.2,0.65,0.04,0.328,9.7,25.5,17.5,5.2,0.6,6.5,20.1,22.8,0.1,0.5,0.6,0.076,-3.6,-0.1,-3.7,-0.1,1,NA,NA,NA,NA,NA,NA,NA,0.1,2.9,1,0.7,1.8,2.5,0.3,0.1,0.6,0.9,1.3
"189","Goga Bitadze",5377520,"C",23,"ORL/IND",38,1,12,1.8,3.3,0.552,0.2,0.231,1.7,0.636,0.576,0.6,1.1,0.548,4.4,457,17.1,0.582,0.208,0.336,15,18.7,16.8,12.1,1.7,5.3,13.3,15.4,0.8,0.6,1.3,0.141,-0.8,1.1,0.3,0.3,1,NA,NA,NA,NA,NA,NA,NA,0.7,2.6,1.1,1.6,2,3.6,1,0.4,0.7,0.6,1.7
"190","Obi Toppin",5348280,"PF",24,"NYK",67,5,15.7,2.8,6.3,0.446,1.3,0.344,1.5,0.593,0.548,0.6,0.7,0.809,7.4,1050,13.6,0.565,0.589,0.112,3,16.6,9.8,9.2,1.1,1.1,8,19.5,1.1,1,2.1,0.095,0.3,-0.8,-0.5,0.4,1,NA,NA,NA,NA,NA,NA,NA,3.7,2.6,0.7,0.4,2.4,2.8,1,0.3,0.2,0.6,1
"191","Franz Wagner",5258280,"SF",21,"ORL",80,80,32.6,6.8,14,0.485,1.6,0.361,5.2,0.544,0.543,3.4,4,0.842,18.6,2609,15.9,0.589,0.322,0.288,3,11.2,7.1,17.2,1.4,0.6,11.7,23.5,3.1,2.3,5.4,0.099,0.4,-0.5,-0.1,1.3,1,NA,NA,NA,NA,NA,NA,NA,4.5,9.5,4,0.9,3.2,4.1,3.5,1,0.2,2.1,2.3
"192","Kendrick Nunn",5250000,"SG",27,"LAL/WAS",70,2,13.8,2.7,6.4,0.424,1.1,0.354,1.6,0.493,0.512,0.5,0.6,0.854,7.1,964,11.1,0.53,0.496,0.091,1.8,10.3,6.2,13.8,1.4,0.6,12.4,23.7,-0.6,0.8,0.2,0.008,-2,-1.5,-3.5,-0.4,1,NA,NA,NA,NA,NA,NA,NA,3.2,3.2,0.6,0.2,1.3,1.6,1.3,0.4,0.1,0.9,0.9
"193","Hamidou Diallo",5200000,"SF",24,"DET",56,0,17.8,3.8,6.7,0.573,0.1,0.238,3.8,0.593,0.58,1.6,2.6,0.588,9.3,996,15.7,0.593,0.056,0.395,6.2,15.7,10.8,9.2,2.6,1.4,13.9,21.8,0.4,0.9,1.3,0.063,-1.8,0.4,-1.4,0.1,1,NA,NA,NA,NA,NA,NA,NA,0.4,6.3,2.6,1,2.4,3.5,1,0.9,0.3,1.3,2.2
"194","Cory Joseph",5155500,"PG",31,"DET",62,2,19.8,2.4,5.7,0.427,1.1,0.389,1.3,0.468,0.527,0.9,1.2,0.792,6.9,1227,12.1,0.558,0.513,0.205,1.8,7.9,4.8,25.4,1.3,0.6,12.8,15.2,1.5,0.3,1.8,0.07,-0.7,-0.8,-1.5,0.2,1,NA,NA,NA,NA,NA,NA,NA,2.9,2.8,1.2,0.3,1.4,1.7,3.5,0.5,0.1,0.9,1.4
"195","Garrett Temple",5155500,"SG",36,"NOP",25,0,6.5,0.7,1.8,0.4,0.4,0.423,0.3,0.368,0.522,0.1,0.2,0.75,2,162,10.5,0.535,0.578,0.089,3.5,8.4,5.9,10.6,2.7,1.2,7.9,13.4,0.1,0.2,0.3,0.094,-2.5,1.6,-1,0,1,NA,NA,NA,NA,NA,NA,NA,1,0.8,0.2,0.2,0.5,0.7,0.5,0.4,0.1,0.2,0.6
"196","Torrey Craig",5121951,"PF",32,"PHO",79,60,24.7,2.9,6.3,0.456,1.3,0.395,1.6,0.518,0.556,0.4,0.6,0.711,7.4,1948,11.6,0.566,0.506,0.09,8.1,16.3,12.1,7.9,1.3,2.9,12.3,13,1.5,2.5,4,0.098,-1.3,0.7,-0.6,0.7,1,NA,NA,NA,NA,NA,NA,NA,3.2,3.1,0.6,1.8,3.6,5.4,1.5,0.6,0.8,0.9,2.3
"197","Jeremy Sochan",5063520,"PF",19,"SAS",56,53,26,4.5,9.9,0.453,0.6,0.246,3.9,0.519,0.483,1.4,2.1,0.698,11,1458,11.4,0.509,0.243,0.21,6.9,15.6,11,13.6,1.4,1.3,13.9,19.8,-0.5,0.7,0.2,0.005,-2.8,-1.2,-4,-0.7,1,NA,NA,NA,NA,NA,NA,NA,2.4,7.5,2.1,1.7,3.6,5.3,2.5,0.8,0.4,1.7,2.5
"198","Nickeil Alexander-Walker",5009633,"SG",24,"MIN/UTA",59,3,15,2.2,5,0.444,1,0.384,1.2,0.515,0.547,0.7,1,0.667,6.2,884,11.6,0.565,0.539,0.203,1.9,10.5,6.3,16.7,1.7,2,14.6,17.9,0.3,0.8,1.1,0.062,-1.4,0.4,-0.9,0.2,1,NA,NA,NA,NA,NA,NA,NA,2.7,2.3,1,0.3,1.5,1.7,1.8,0.5,0.4,0.9,1.5
"199","Furkan Korkmaz",5000000,"SG",25,"PHI",37,0,9.5,1.3,3,0.432,0.5,0.391,0.8,0.462,0.514,0.7,1,0.722,3.8,353,9.3,0.552,0.414,0.324,2,11.8,7,8.8,1.4,0.8,15.9,19.1,-0.2,0.3,0.1,0.019,-3.3,-1,-4.4,-0.2,1,NA,NA,NA,NA,NA,NA,NA,1.2,1.8,1,0.2,1,1.1,0.6,0.3,0.1,0.6,0.5
"200","Deni Avdija",4916160,"SF",22,"WAS",76,40,26.6,3.3,7.6,0.437,0.9,0.297,2.4,0.53,0.497,1.6,2.2,0.739,9.2,2020,11.2,0.535,0.401,0.285,4.2,21.9,13.4,13.9,1.6,1.2,15.9,16.7,0,2.3,2.3,0.054,-2.8,0.5,-2.3,-0.1,1,NA,NA,NA,NA,NA,NA,NA,3.1,4.6,2.2,1,5.4,6.4,2.8,0.9,0.4,1.6,2.8
"201","Davion Mitchell",4833600,"PG",24,"SAC",80,9,18.1,2.3,5,0.454,0.8,0.32,1.5,0.584,0.533,0.3,0.4,0.806,5.6,1447,9.4,0.545,0.494,0.078,1.3,7,4.1,16.5,1.5,0.9,13.1,14.1,0.7,0.8,1.5,0.05,-2.4,-0.4,-2.8,-0.3,1,NA,NA,NA,NA,NA,NA,NA,2.5,2.5,0.4,0.2,1.1,1.3,2.3,0.6,0.2,0.8,1.4
"202","Johnny Davis",4810320,"SG",20,"WAS",28,5,15.1,2.4,6.1,0.386,0.6,0.243,1.8,0.485,0.436,0.5,1,0.519,5.8,423,7.2,0.446,0.409,0.158,2.7,13.9,8.5,9.2,1.2,1.6,8.5,20.5,-0.6,0.3,-0.3,-0.033,-5.8,-1.7,-7.4,-0.6,1,NA,NA,NA,NA,NA,NA,NA,2.5,3.6,1,0.4,2,2.3,1,0.4,0.3,0.6,1.7
"203","Ty Jerome",4728948,"SG",25,"GSW",45,2,18.1,2.6,5.4,0.488,0.8,0.389,1.8,0.546,0.56,0.8,0.9,0.927,6.9,816,12.8,0.594,0.372,0.169,1,9.4,5.3,22.1,1.3,0.5,10.3,14.9,1.4,0.7,2.1,0.124,-1.1,0.3,-0.8,0.3,1,NA,NA,NA,NA,NA,NA,NA,2,3.4,0.9,0.2,1.6,1.7,3,0.5,0.1,0.7,1.4
"204","Jalen Smith",4670160,"C",22,"IND",68,31,18.8,3.6,7.5,0.476,0.8,0.283,2.8,0.593,0.53,1.5,2,0.759,9.4,1279,15.9,0.565,0.376,0.27,11.2,22.9,17.1,7.6,0.8,4,11.2,21,1.1,1.1,2.3,0.085,-0.9,-1.1,-2.1,0,1,NA,NA,NA,NA,NA,NA,NA,2.8,4.7,2,1.9,3.9,5.8,1,0.3,0.9,1.1,2.3
"205","Ziaire Williams",4591680,"SF",21,"MEM",37,4,15.2,2.3,5.3,0.429,0.7,0.258,1.6,0.596,0.492,0.5,0.6,0.773,5.7,561,7.4,0.511,0.495,0.112,3,11.9,7.5,8.2,1.2,1,15.2,18,-0.5,0.6,0.1,0.011,-4.7,-0.8,-5.6,-0.5,1,NA,NA,NA,NA,NA,NA,NA,2.6,2.7,0.6,0.4,1.7,2.1,0.9,0.4,0.2,1,1.6
"206","Ousmane Dieng",4569840,"PF",19,"OKC",39,1,14.6,1.9,4.6,0.42,0.7,0.265,1.3,0.602,0.492,0.4,0.6,0.652,4.9,569,9.3,0.505,0.541,0.127,3.5,16.5,9.9,10.7,1.2,1.1,12,15.9,-0.1,0.6,0.4,0.038,-3.1,-0.5,-3.6,-0.2,1,NA,NA,NA,NA,NA,NA,NA,2.5,2.1,0.6,0.5,2.2,2.7,1.2,0.4,0.2,0.7,1.1
"207","Jeff Green",4500000,"PF",36,"DEN",56,4,19.5,2.9,5.9,0.488,0.5,0.288,2.3,0.58,0.534,1.6,2.1,0.744,7.8,1091,11,0.576,0.317,0.357,4.1,10.9,7.6,8.3,0.8,1.4,10.8,17,0.8,0.8,1.7,0.074,-2.4,-1,-3.4,-0.4,1,NA,NA,NA,NA,NA,NA,NA,1.9,4,2.1,0.7,1.9,2.6,1.2,0.3,0.3,0.8,1.8
"208","Donte DiVincenzo",4500000,"SG",26,"GSW",72,36,26.3,3.3,7.5,0.435,2.1,0.397,1.2,0.525,0.574,0.8,1,0.817,9.4,1894,12.8,0.593,0.7,0.131,4.7,14,9.4,17.3,2.4,0.5,16.4,15.1,1.9,2.3,4.2,0.106,-0.6,1.3,0.7,1.3,1,NA,NA,NA,NA,NA,NA,NA,5.3,2.3,1,1.1,3.4,4.5,3.5,1.3,0.1,1.6,1.8
"209","Devin Vassell",4437000,"SG",22,"SAS",38,32,31,6.9,15.7,0.439,2.7,0.387,4.2,0.48,0.525,2.1,2.6,0.78,18.5,1178,15.5,0.55,0.447,0.168,0.7,13.5,6.9,17.3,1.7,1.2,8.2,24.4,0.7,0.5,1.2,0.051,1.3,-0.9,0.4,0.7,1,NA,NA,NA,NA,NA,NA,NA,7,8.7,2.6,0.2,3.7,3.9,3.6,1.1,0.4,1.5,1.5
"210","Matisse Thybulle",4379526,"SF-SG",25,"PHI/POR",71,28,16.9,1.5,3.6,0.435,0.8,0.365,0.8,0.533,0.542,0.3,0.4,0.679,4.1,1200,10.5,0.552,0.585,0.111,3.9,9.7,6.8,5.9,3.4,2.4,8.3,10.6,0.6,1.5,2.1,0.086,-2.7,2.2,-0.5,0.4,1,NA,NA,NA,NA,NA,NA,NA,2.1,1.5,0.4,0.6,1.4,2,0.7,1.2,0.5,0.3,1.6
"211","Jarred Vanderbilt",4374000,"PF",23,"LAL/UTA",78,65,24.1,3.2,5.8,0.548,0.4,0.322,2.8,0.604,0.58,1.2,1.8,0.691,7.9,1879,15.1,0.604,0.2,0.308,10,23.2,16.7,13.1,2.1,0.9,15.9,13.6,2.7,2.5,5.2,0.132,-0.6,1.6,1.1,1.5,1,NA,NA,NA,NA,NA,NA,NA,1.2,4.6,1.8,2.2,5.3,7.5,2.4,1.1,0.3,1.2,2.4
"212","James Bouknight",4362240,"SG",22,"CHO",34,0,15.1,2,5.7,0.358,1,0.303,1.1,0.429,0.443,0.6,0.9,0.667,5.6,515,6.2,0.463,0.565,0.155,1.6,13.5,7.5,11.1,1.3,0.8,13.4,19.5,-0.8,0.4,-0.4,-0.04,-5.4,-1.1,-6.5,-0.6,1,NA,NA,NA,NA,NA,NA,NA,3.2,2.5,0.9,0.2,1.9,2.1,1.2,0.4,0.1,0.9,1.4
"213","Brandon Clarke",4343919,"PF",26,"MEM",56,8,19.5,4.1,6.2,0.656,0,0.167,4.1,0.665,0.658,1.8,2.4,0.723,10,1090,20,0.682,0.017,0.393,9,21.2,15.1,9.5,1.5,3.1,11.8,17.7,2.7,1.8,4.5,0.199,0.8,1.8,2.5,1.3,1,NA,NA,NA,NA,NA,NA,NA,0.1,6.1,2.4,1.6,3.9,5.5,1.3,0.6,0.7,1,2.3
"214","Jalen Williams",4341480,"SG",21,"OKC",75,62,30.3,5.5,10.6,0.521,1,0.356,4.5,0.579,0.567,2.1,2.5,0.812,14.1,2276,15.6,0.601,0.258,0.241,3.9,12.2,7.9,15.4,2.1,1.4,12.3,18.4,3,2.6,5.6,0.119,-0.4,0.7,0.3,1.3,1,NA,NA,NA,NA,NA,NA,NA,2.7,7.9,2.5,1.1,3.4,4.5,3.3,1.4,0.5,1.6,2.5
"215","Grant Williams",4306281,"PF",24,"BOS",79,23,25.9,2.7,6,0.454,1.5,0.395,1.3,0.546,0.575,1.2,1.5,0.77,8.1,2045,10.3,0.605,0.611,0.256,4.7,14.5,9.7,8.4,1,1.3,13.4,13.1,1.9,2.6,4.4,0.104,-1.8,0.7,-1.1,0.5,1,NA,NA,NA,NA,NA,NA,NA,3.7,2.3,1.5,1.1,3.5,4.6,1.7,0.5,0.4,1,2.4
"216","Darius Bazley",4264628,"C",22,"OKC/PHO",43,1,14.3,1.9,4.3,0.454,0.5,0.377,1.5,0.485,0.508,0.9,1.6,0.543,5.2,616,13.1,0.524,0.29,0.383,5.8,18.5,12.1,8.3,1.7,5.1,11.2,16.4,0.1,0.9,1,0.078,-2,1,-1,0.2,1,NA,NA,NA,NA,NA,NA,NA,1.2,3,1.6,0.8,2.4,3.2,0.9,0.5,0.8,0.6,1
"217","Tyrese Haliburton",4215120,"PG",22,"IND",56,56,33.6,7.4,15,0.49,2.9,0.4,4.5,0.572,0.586,3.1,3.6,0.871,20.7,1883,23.6,0.624,0.478,0.239,1.9,10.1,6,47.6,2.3,1.1,13.2,23.8,6.4,1.2,7.6,0.195,7,0.2,7.2,4.4,1,NA,NA,NA,NA,NA,NA,NA,7.2,7.8,3.6,0.6,3.1,3.7,10.4,1.6,0.4,2.5,1.2
"218","Nassir Little",4171548,"SF",22,"POR",54,4,18.1,2.5,5.6,0.442,1.1,0.367,1.4,0.524,0.538,0.6,0.9,0.717,6.6,976,10.2,0.555,0.521,0.152,3.2,13.5,8.3,7.3,1,1.8,10,16,0.2,0.4,0.7,0.032,-1.6,-1.4,-3,-0.3,1,NA,NA,NA,NA,NA,NA,NA,2.9,2.7,0.9,0.5,2.1,2.6,0.9,0.4,0.4,0.7,1.2
"219","Jalen Duren",4124280,"C",19,"DET",67,31,24.9,3.9,5.9,0.648,0,0,3.9,0.652,0.648,1.4,2.3,0.611,9.1,1670,17.3,0.655,0.005,0.394,14.7,25.1,19.7,6.8,1.3,3.1,16.5,14.3,2.9,1.6,4.5,0.129,-0.4,-0.4,-0.8,0.5,1,NA,NA,NA,NA,NA,NA,NA,0,5.9,2.3,3.4,5.5,8.9,1.1,0.7,0.9,1.4,2.7
"220","Gorgui Dieng",4105236,"C",33,"SAS",31,1,11.5,1.5,3.8,0.385,0.7,0.28,0.8,0.571,0.474,0.3,0.4,0.769,3.9,358,9.9,0.493,0.641,0.111,7.9,25.4,16.3,19.4,0.5,3.2,20.7,17.9,-0.2,0.2,0,0.001,-4,0.1,-3.9,-0.2,1,NA,NA,NA,NA,NA,NA,NA,2.4,1.4,0.4,0.9,2.6,3.5,1.7,0.1,0.5,1,1.8
"221","Justise Winslow",4097561,"PF",26,"POR",29,11,26.8,2.8,6.8,0.409,0.5,0.311,2.3,0.438,0.444,0.7,1,0.714,6.8,776,9.3,0.466,0.227,0.141,7.2,14.3,10.7,17.2,1.9,1.3,17,14.2,-0.1,0.5,0.4,0.022,-3.4,0.6,-2.8,-0.2,1,NA,NA,NA,NA,NA,NA,NA,1.6,5.3,1,1.7,3.3,5,3.4,1,0.4,1.5,3.1
"222","Dylan Windler",4037277,"SF",26,"CLE",3,0,3.3,0.7,1,0.667,0.3,0.5,0.3,1,0.833,0,0,NA,1.7,10,19,0.833,0.667,0,0,0,0,15.2,5,0,25,17.9,0,0,0,0.149,3.2,3.5,6.7,0,1,NA,NA,NA,NA,NA,NA,NA,0.7,0.3,0,0,0,0,0.3,0.3,0,0.3,0
"223","Stanley Johnson",4022164,"SF",26,"SAS",30,0,15.6,2.2,4.1,0.533,0.6,0.45,1.6,0.573,0.607,0.9,1.3,0.667,5.8,469,13.5,0.625,0.328,0.32,4.9,17.7,11.1,19,1.6,1.1,19.2,15.2,0.5,0.3,0.7,0.076,-0.8,-0.2,-1,0.1,1,NA,NA,NA,NA,NA,NA,NA,1.3,2.7,1.3,0.7,2.4,3.2,2.2,0.5,0.2,1.1,1.6
"224","George Hill",4000000,"PG-SG",36,"MIL/IND",46,1,18.1,1.7,3.6,0.47,0.7,0.358,1,0.62,0.572,0.9,1.2,0.764,5,834,10.6,0.61,0.572,0.331,2,8.6,5.4,16.7,1.5,0.6,15.2,11.3,1.1,0.8,1.9,0.107,-2.4,0.9,-1.5,0.1,1,NA,NA,NA,NA,NA,NA,NA,2.1,1.5,1.2,0.3,1.5,1.8,2.4,0.6,0.1,0.7,1.2
"225","Terence Davis",4000000,"SG",25,"SAC",64,5,13.1,2.4,5.7,0.423,1.4,0.366,1,0.537,0.545,0.5,0.7,0.791,6.7,841,12.9,0.563,0.668,0.118,2.7,16.1,9.4,11.1,2.4,1.2,12.2,22.2,0,0.9,0.9,0.054,-1.3,-0.3,-1.5,0.1,1,NA,NA,NA,NA,NA,NA,NA,3.8,1.9,0.7,0.3,1.9,2.2,1,0.7,0.2,0.8,1.6
"226","Chris Duarte",3936960,"SF",25,"IND",46,12,19.5,2.7,7.2,0.369,1.2,0.316,1.5,0.428,0.452,1.3,1.6,0.847,7.9,897,8.6,0.496,0.523,0.216,2.4,11.9,7.1,9.7,1.3,0.9,10.1,19,-0.5,0.4,0,-0.003,-2.9,-1.6,-4.5,-0.6,1,NA,NA,NA,NA,NA,NA,NA,3.8,3.5,1.6,0.4,2.1,2.5,1.4,0.5,0.2,0.9,1.4
"227","Alex Len",3918600,"C",29,"SAC",26,2,6.2,0.6,1.2,0.533,0,0,0.6,0.571,0.533,0.4,0.6,0.688,1.7,161,12.8,0.58,0.067,0.533,17.2,25.4,21.3,9.3,1.2,6,30.2,14.1,0.1,0.2,0.3,0.085,-4.9,0.9,-4,-0.1,1,NA,NA,NA,NA,NA,NA,NA,0.1,1.1,0.6,0.9,1.4,2.3,0.5,0.2,0.4,0.6,1.1
"228","Ochai Agbaji",3918360,"SG",22,"UTA",59,22,20.5,2.8,6.5,0.427,1.4,0.355,1.4,0.532,0.532,0.9,1.2,0.812,7.9,1209,9.5,0.561,0.591,0.179,3.9,6.9,5.4,7.5,0.6,1,9,15.8,0.9,0.4,1.3,0.053,-1.7,-1.4,-3,-0.3,1,NA,NA,NA,NA,NA,NA,NA,3.9,2.7,1.2,0.7,1.3,2.1,1.1,0.3,0.3,0.7,1.7
"229","Jordan Poole",3901399,"PG",23,"GSW",82,43,30,6.7,15.6,0.43,2.6,0.336,4.1,0.524,0.514,4.4,5.1,0.87,20.4,2458,14.6,0.573,0.498,0.325,1.5,8.5,5,22.5,1.2,0.8,14.7,29.2,1.4,1.9,3.2,0.063,-0.1,-1.8,-1.9,0.1,1,NA,NA,NA,NA,NA,NA,NA,7.8,7.8,5.1,0.4,2.4,2.7,4.5,0.8,0.3,3.1,2.6
"230","Keldon Johnson",3873024,"SF",23,"SAS",63,63,32.7,8,17.7,0.452,2.1,0.329,5.9,0.523,0.512,3.9,5.2,0.749,22,2063,15.3,0.551,0.366,0.294,2.9,14.4,8.4,13.7,1.1,0.4,9.6,27.9,0.7,0.5,1.3,0.03,0.7,-2.5,-1.8,0.1,1,NA,NA,NA,NA,NA,NA,NA,6.5,11.2,5.2,0.9,4.2,5,2.9,0.7,0.2,2.1,2
"231","James Johnson",3841067,"PF",35,"IND",18,1,9,1.2,2.7,0.449,0.2,0.2,1.1,0.559,0.48,0.2,0.4,0.5,2.8,162,8.4,0.486,0.306,0.163,2.7,17.8,10.3,12.6,2.1,3.2,13.2,15.7,-0.1,0.2,0.1,0.017,-5.7,1.2,-4.4,-0.1,1,NA,NA,NA,NA,NA,NA,NA,0.8,1.9,0.4,0.2,1.4,1.7,0.8,0.4,0.3,0.4,1.8
"232","Aaron Nesmith",3804360,"SF",23,"IND",73,60,24.9,3.5,8.1,0.427,1.6,0.366,1.9,0.496,0.525,1.6,1.9,0.838,10.1,1816,10.5,0.566,0.532,0.241,3.8,13.1,8.5,7.4,1.4,1.6,10.3,16.8,0.9,1.1,2,0.052,-2.3,-0.7,-3,-0.4,1,NA,NA,NA,NA,NA,NA,NA,4.3,3.8,1.9,0.8,2.9,3.8,1.3,0.8,0.5,1,3.2
