"","Player.Name","Salary","Position","Age","Team","Games Played","Games Started","Minutes Played","Field Goals Made","Field Goals Attempted","FG..x","3-Pointers Made","X3P..x","2-Pointers Made","X2P..x","eFG.","Free-Throws Made","FTA.x","FT..x","PTS.x","Total.Minutes","PER","TS.","X3PAr","FTr","ORB.","DRB.","TRB.","AST.","STL.","BLK.","TOV.","USG.","OWS","DWS","WS","WS.48","OBPM","DBPM","BPM","VORP","Is_NBA","X2022.Signing","PTS.y","FG..y","X2P..y","X3P..y","FTA.y","FT..y","3-Pointers Attempted","2-Pointers Attempted","Free-Throws Attempted","Offensive Rebounds","Defensive Rebounds","Total Rebounds","Assists","Steals","Blocks","Turnovers","Personal Fouls"
"75","Dejounte Murray",17071120,"SG",26,"ATL",74,74,36.4,8.3,17.8,0.464,1.8,0.344,6.5,0.514,0.514,2.1,2.6,0.832,20.5,2693,17,0.54,0.293,0.144,2.1,13.8,7.9,24,2,0.6,10.2,24.4,2.4,2.3,4.7,0.084,1.1,0,1,2.1,1,NA,NA,NA,NA,NA,NA,NA,5.2,12.6,2.6,0.7,4.5,5.3,6.1,1.5,0.3,2.2,1.4
"76","Mitchell Robinson",17045454,"C",24,"NYK",59,58,27,3.2,4.7,0.671,0,NA,3.2,0.671,0.671,1,2.1,0.484,7.4,1591,18.9,0.652,0,0.436,18.4,20,19.2,4.5,1.7,6.5,10.9,10.1,4,2.6,6.5,0.197,1,1.4,2.4,1.7,1,NA,NA,NA,NA,NA,NA,NA,0,4.7,2.1,4.5,4.9,9.4,0.9,0.9,1.8,0.7,2.7
"77","Duncan Robinson",16902000,"SF",28,"MIA",42,1,16.5,2.1,5.6,0.371,1.5,0.328,0.6,0.556,0.504,0.7,0.8,0.906,6.4,691,7.8,0.534,0.81,0.135,1.3,10.7,5.9,9.7,1,0,10,17.9,-0.1,0.6,0.5,0.035,-3.5,-1.5,-5,-0.5,1,NA,NA,NA,NA,NA,NA,NA,4.6,1.1,0.8,0.2,1.5,1.6,1.1,0.3,0,0.7,1.8
"78","Norman Powell",16758621,"SG",29,"LAC",60,8,26.1,5.7,11.8,0.479,1.9,0.397,3.8,0.534,0.559,3.8,4.6,0.812,17,1567,17.1,0.612,0.404,0.39,1.7,10.7,6.3,11,1.6,1,10.8,26,2.1,1.4,3.5,0.107,0.9,-0.7,0.3,0.9,1,NA,NA,NA,NA,NA,NA,NA,4.8,7.1,4.6,0.4,2.5,2.9,1.8,0.8,0.3,1.7,2.1
"79","Collin Sexton",16700000,"PG",24,"UTA",48,15,23.9,4.9,9.8,0.506,1,0.393,3.9,0.546,0.558,3.4,4.1,0.819,14.3,1145,15.9,0.616,0.261,0.425,3.5,6.3,5,17.9,1.1,0.4,13.3,23.4,2,0.5,2.5,0.105,0.1,-1.5,-1.3,0.2,1,NA,NA,NA,NA,NA,NA,NA,2.5,7.2,4.1,0.8,1.4,2.2,2.9,0.6,0.1,1.8,2.3
"80","Markelle Fultz",16500000,"PG",24,"ORL",60,60,29.6,5.8,11.3,0.514,0.5,0.31,5.4,0.544,0.534,1.9,2.4,0.783,14,1778,16.6,0.564,0.128,0.211,4.4,10.5,7.4,29.8,2.4,1.4,15.8,21.3,1.7,2,3.7,0.1,-0.1,0.7,0.5,1.2,1,NA,NA,NA,NA,NA,NA,NA,1.5,9.9,2.4,1.2,2.8,3.9,5.7,1.5,0.4,2.3,2.2
"81","Lauri Markkanen",16475454,"PF",25,"UTA",66,66,34.4,8.7,17.3,0.499,3,0.391,5.6,0.585,0.586,5.3,6,0.875,25.6,2273,22.1,0.64,0.446,0.348,6.3,20.7,13.6,8.6,0.9,1.4,8.8,26.6,6.3,1.9,8.2,0.173,4.9,-1,3.8,3.3,1,NA,NA,NA,NA,NA,NA,NA,7.7,9.6,6,2,6.7,8.6,1.9,0.6,0.6,1.9,2.1
"82","Marcus Morris",16372093,"PF",33,"LAC",65,65,28.1,4.2,9.9,0.426,1.7,0.364,2.5,0.484,0.513,1,1.3,0.782,11.2,1825,10.5,0.534,0.479,0.135,1.8,13.9,7.9,8.9,1.1,1,7.6,17.6,0.4,1.6,2,0.053,-1.8,-0.2,-1.9,0,1,NA,NA,NA,NA,NA,NA,NA,4.7,5.2,1.3,0.4,3.5,4,1.8,0.6,0.3,0.9,2.1
"83","Malik Beasley",15558035,"SG",26,"LAL/UTA",81,27,25.8,4.6,11.6,0.395,2.9,0.357,1.7,0.484,0.52,0.6,0.8,0.769,12.7,2093,10.9,0.531,0.702,0.069,1.8,12.5,7.3,8.4,1.5,0.4,8.5,21.1,-0.2,1.6,1.4,0.032,-0.9,-1,-2,0,1,NA,NA,NA,NA,NA,NA,NA,8.1,3.4,0.8,0.4,3.1,3.5,1.5,0.8,0.1,1.1,1.3
"84","Luguentz Dort",15277778,"SF",23,"OKC",74,73,30.7,4.6,11.8,0.388,1.8,0.33,2.8,0.44,0.466,2.7,3.5,0.772,13.7,2272,11.3,0.513,0.468,0.297,5.9,10.4,8.1,9.2,1.6,0.9,8.5,19.8,0.9,2.1,2.9,0.062,-2,-1,-3,-0.6,1,NA,NA,NA,NA,NA,NA,NA,5.5,6.3,3.5,1.7,2.9,4.6,2.1,1,0.3,1.2,3.3
