"","Player","X2022.Salary","X2022.Signing","G","GS","MIN","PTS","FGM","FGA","FG.","X2PM","X2PA","X2P.","X3PM","X3PA","X3P.","FTM","FTA","FT.","ORB","DRB","TRB","AST","TOV","STL","BLK","PF","Is_NBA"
"37","Cheyenne Parker",190550,"UFA",36,35,26.2,11.8,4.9,9.8,"50.00%",4.6,8.3,"55.20%",0.3,1.5,"21.80%",1.7,2.2,"79.50%",1.6,4.5,6.2,2,2,1,0.9,2.7,0
"38","Courtney Vandersloot",195000,"UFA",32,32,26.5,11.8,4.3,8.8,"48.10%",3.3,6.4,"52.50%",0.9,2.5,"36.70%",2.3,3.1,"76.50%",0.7,3.2,3.9,6.5,2.7,1.2,0.5,1.7,0
"39","Allie Quigley",135000,"UFA",34,34,26.3,11.4,3.8,8.9,"42.80%",2.4,4.8,"49.10%",1.5,4.1,"35.50%",2.2,2.4,"95.00%",0.5,2,2.5,2.9,1.3,0.7,0.2,1.5,0
"40","Satou Sabally",76297,NA,11,6,21.7,11.3,3.7,9.4,"39.80%",2.8,5.5,"51.70%",0.9,3.9,"23.30%",2.9,3.2,"91.40%",0.8,4,4.8,2.1,2.3,0.5,0.2,3.2,0
"41","Betnijah Laney",196267,"UFA",9,6,28.3,11.2,4.2,10,"42.20%",3,6.8,"44.30%",1.2,3.2,"37.90%",1.6,1.8,"87.50%",0.1,3.2,3.3,2.8,2.7,0.4,0.1,2.7,0
"42","Courtney Williams",103000,"UFA",34,34,28,11.1,4.9,11.4,"42.60%",4.2,9.5,"44.40%",0.6,1.9,"33.80%",0.8,1.1,"75.00%",0.9,3.7,4.6,3.3,1.7,1,0.4,1.6,0
"43","Aari McDonald",71441,"Rookie",36,6,24.3,11.1,3.6,8.9,"41.10%",2.3,4.9,"46.90%",1.3,3.9,"33.80%",2.4,2.8,"87.10%",0.4,1.8,2.3,2.6,2.2,1.5,0,2.2,0
"44","Teaira McCowan",72141,NA,33,15,18.9,11,4.2,7,"60.20%",4.2,7,"60.20%",0,0,NA,2.5,4.2,"60.00%",3,4.1,7,0.8,1.7,0.3,0.7,3.1,0
"45","Maya Caldwell",4490,"Hardship",9,7,23.7,10.9,4.2,8.2,"51.40%",2.2,4.7,"47.60%",2,3.6,"56.30%",0.4,0.6,"80.00%",0.6,1.9,2.4,2.2,1.6,0.8,0.2,1.7,0
"46","Maya Caldwell",3143,"Hardship",9,7,23.7,10.9,4.2,8.2,"51.40%",2.2,4.7,"47.60%",2,3.6,"56.30%",0.4,0.6,"80.00%",0.6,1.9,2.4,2.2,1.6,0.8,0.2,1.7,0
